538,155201157,270,33279546
Alabama,AL,9,1132546
Alaska,AK,3,169089
Arkansas,AR,6,591339
Connecticut,CT,7,879506
Delaware,DE,3,255849
District of Columbia,DC,3,162935
Hawaii,HI,4,258351
Idaho,ID,4,452407
Illinois,IL,19,2816656
Indiana,IN,11,1468339
Iowa,IA,6,831754
Kansas,KS,6,663796
Kentucky,KY,8,1037266
Louisiana,LA,8,1003488
Maine,ME,4,415398
Mississippi,MS,6,614005
Missouri,MO,10,1497664
Montana,MT,4,301482
Nebraska,NE,5,473580
Nevada,NV,6,742421
New Hampshire,NH,4,413095
New Mexico,NM,5,461702
New York,NY,28,4131248
North Dakota,ND,3,184078
Oklahoma,OK,7,783087
Oregon,OR,8,1122247
Rhode Island,RI,4,256694
South Carolina,SC,9,1274071
South Dakota,SD,3,214462
Tennessee,TN,11,1531972
Texas,TX,40,5694338
Utah,UT,6,744248
Vermont,VT,3,184712
West Virginia,WV,4,381196
Wyoming,WY,3,134525
